section_code,section,contents,clause_title,clause_reference
G,G4,Walling,Classifications,(a) Walling shall be given in square metres stating the thickness. Classification shall be as follows: i. Walls; ii. Filling existing openings; iii. Skins of hollow walls; iv. Backings or facings stating the thickness. Any necessary cutting and bonding and wall ties shall be fully described; v. Battering walls (i.e. walls of uniform thickness built battering); vi. Tapered walls of diminishing thickness from base to top stating the average thickness whether one or both faces are battered and the rate of batter; vii. Walling used as formwork. Temporary strutting shall be given in the description. (b) i. Providing special blocks with solid ends shall be given in linear metres as extra over the work in which they occur. ii. Filling ends of hollow blocks shall be deemed to be included.
G,G5,Walling,Cube Walling,Walling in each of the following classes shall be given separately in cubic metres: i. Chimney breasts (measured through the full thickness of the walls to which they are attached); ii. Chimney stacks; iii. Stepped footings; iv. Isolated piers and columns. Alternatively these may be given in linear metres stating the size. Walls having a length on plan not exceeding four times their thickness (except where caused by openings) shall be classified as isolated piers.
G,G6,Walling,Projections,"Walling in projections, bands, oversailing courses and the like (measured beyond the face of the wall) shall be given separately in linear metres stating the size."
G,G7,Walling,Thickening,"Walling of any thickness in each of the following classes shall be given separately in square metres stating the thickness. Cutting and bonding new to existing and extra material for bonding shall be given in the description stating any special method of bonding. Classification shall be as follows: i. Thickening existing walls (measured beyond the face of the existing wall). ii. Projections on existing walls (measured beyond the face of the existing wall) of attached piers, chimney breasts and the like."
G,G8,Walling,Grooved Blocks,Grooved blocks and bricks shall be given in square metres as extra over the walling in which they occur.
G,G9,Walling,Flue Lining,Refractory brick linings to flues shall be given in square metres stating the thickness. Those bonded to surrounding walling shall be so described.
G,G10,Walling,Glass Blocks,(a) Glass blockwork in walls and panels shall be given in square metres stating the size and thickness of the blocks. (b) Bedding the perimeter of glass blockwork in material different from the mortar shall be given in linear metres stating the width and the kind of bedding material.
G,G11,Walling,Cavity Walls,(a) Forming cavities in hollow walls shall be given in square metres stating the width of the cavity. Wall ties shall be given in the description stating the type and the disposition or number. (b) Closing cavities at ends of hollow walls or at jambs of openings shall be given in linear metres stating the width of the cavity and the method of closing.
G,G12,Walling,Eaves,Walling in eaves-filling shall be given in linear metres as a labour filling and material item stating the thickness and maximum height of the filling and including the description of the cutting.
G,G13,Walling,Chases,"Horizontal rough chases in new work for edges of floors, landings and roofs shall be deemed to be included with the walling. Other horizontal rough chases and all raking, vertical and curved rough chases shall each be given separately in linear metres stating the size."
G,G14,Walling,Rough Arches,Rough arches (measured the mean length on face) shall be given in linear metres as extra over the walling in which they occur stating the thickness and the number of rings in the arches.
G,G15,Walling,Bonding Ends,"Bonding ends of new walling to other types of construction or to existing work shall be given in linear metres, stating the thickness of the walling. Forming pockets in new construction, cutting pockets in existing construction and material for bonding shall be given in the description."
G,G16,Walling,Reinforced Walls,Particulars of reinforcement in walls shall be given in the description of the item concerned.
G,G17,Walling,Seating And Flues (Boilers),(a) Boiler seatings and boiler flues shall be given in detail under an appropriate heading. Firebricks and fireclay work shall each be so described. (b) Boiler-seating blocks and curved flue-covers shall each be given separately in linear metres stating the size. Pieces of irregular shape shall be enumerated stating the size.
G,G18,Walling,Chimneys,"Chimney-shafts shall be given in detail under an appropriate heading stating the number, the size on plan, the shape and the overall height. Chimney shafts of different shapes and heights shall be given separately. Those required to be built from outside scaffolding shall be so described."
G,G19,Walling,Facework Generally,"The rules relating to facework shall apply equally to fair face. Particulars shall include method of dressing or facing, quality and size of facing blocks or bricks, bonding method, mortar for pointing, and pointing type. Facework shall be measured on exposed faces and given in square metres as extra over the walling in which it occurs. Curved facework shall be so described. Pointing shall be given in the description. Reveals, returns, soffites, offsets, exposed edges around superficial items of sunk or projecting work shall be measured and added. Deductions of facework shall be made for string courses, cills, lintels, plates and the like. Facework built overhand, battered facework, sunk or projecting facework, and vaulting shall each be described."
G,G20,Walling,Angles And Chases,(a) Fair vertical internal angles and fair vertical external angles shall be deemed to be included with the facework. (b) Fair chases of any description shall be given in linear metres stating the size.
G,G21,Walling,Tile Creasings,"(a) Flush, sunk and projecting tile creasings shall each be given separately in linear metres as extra over the walling in which they occur stating the number of courses and the depth or projection. (b) Fair ends and angles of any description are deemed to be included."
G,G22,Walling,Quoins,"Facework of flush quoins, sunk quoins, projecting quoins, cut and rubbed quoins, and quoins with tile insets or rustications shall each be given with particulars of girth, depth or projection, and jointing method."
G,G23,Walling,Arches,"Facework to arches shall be given in linear metres stating the width or face, the width of the exposed soffite and the outline of the arch."
G,G24,Walling,Tumblings Of Buttresses,Facework to tumblings of buttresses shall be enumerated stating the size.
G,G25,Walling,Walling Faced Or Fair On Both Sides,Stone walling faced both sides built with blocks extending the full thickness of the wall shall be given separately in square metres. Half-brick walls and one-brick walls built fair both sides or entirely of facings shall each be given separately in square metres. Fair returns shall be given in square metres and so described.
G,G26,Walling,Angles (Brick Facework),"Purpose-made bricks to form bull-nosed, squint, birdsmouth or moulded angles and the like shall be given separately and so described."
G,G27,Walling,Band Courses,"Facework to sunk and projecting plain bands not exceeding 300 millimetres, and flush plain bands differing in kind or size, shall be given in linear metres stating the width and depth or projection. Horizontal, raking, vertical and curved bands shall each be described. Ends and angles are included."
G,G28,Walling,Bricks On Edge Or Moulded,"Facework to flush, sunk and projecting brick-on-edge bands, dentilled bands, basket-pattern bands, moulded or splayed courses, plinth cappings, moulded string courses, moulded cornices and the like shall each be given separately in linear metres stating width and projection. Ends, internal angles, external angles and irregular angles shall each be enumerated separately."
G,G29,Walling,"Cills, Thresholds, Copings","Cills, thresholds, copings and steps of fair-faced brickwork or entirely of facings shall each be given separately in linear metres stating size and method of forming. Ends and angles are included."
G,G30,Walling,"Key Blocks, Corbels Etc.","Key blocks, corbels, bases to pilasters, and cappings to isolated piers shall be enumerated separately stating the size. Fair cutting is included."
G,G31,Walling,Rubble Walling Generally,Rubble work shall consist of natural stones either irregular in shape or roughly dressed and laid dry or in mortar with comparatively thick joints.
G,G32,Walling,Dry Rubble Work,Dry rubble work (i.e. work built without mortar) shall be so described.
G,G33,Walling,Particulars Of Rubble Walling,"Particulars of the following shall be given: i. Type of walling stating whether random or squared stones and, where coursed, the average height of courses or maximum and minimum heights of diminishing courses. ii. Texture and finish to exposed faces of stones (e.g. natural; rough-dressed; hammer-dressed)."
G,G34,Walling,Levelled Courses,"Levelling uncoursed rubble work for damp-proof courses, band-sills, copings and the like shall be given in linear metres stating the width."
G,G35,Walling,Dressed Margins,Dressed margins on rubble work shall be given in linear metres stating the width of the margin. Stops and angles shall be deemed to be included.
G,G36,Walling,Copings,Copings formed of rough stones shall be given in linear metres stating the width and average height. Ends and angles shall be deemed to be included.
G,G37,Walling,Masonry Generally,"(a) Masonry shall consist of dressed blocks of natural stone accurately worked to given dimensions and laid in mortar in courses with fine joints. (b) Particulars shall be given of texture and finish to exposed faces of stones (e.g. sawn; rubbed; tooled; vermiculated; reticulated; polished) and requirements as to coating and cleaning on completion. (c) Labours necessary to produce sawn stones of required size shall be deemed included. (d) Stones shall be set on their natural beds unless otherwise described. (e) Stone dressings to walls other than masonry-faced walls shall be described. (f) Templates and patterns shall be deemed included. (g) Joggle joints, sunk joints, rebated joints, concealed joints and the like shall be described. Extra stone required for joints deemed included."
G,G38,Walling,Measurement (Masonry),"(a) Superficial items of work shall be measured the mean length by the average height. (b) Linear items shall be measured mean length. (c) Enumerated items measured as smallest block obtainable having regard to quarry bed. (d) Plain work, sunk work, circular work and circular-circular work shall each be described. Arises deemed included. Work curved on plan described stating mean radius. Extra stone deemed included. (e) Stones or blocks over 1.50 m long described in stages of 0.50 m. (f) Stones or blocks over 0.50 cubic metre described in stages of 0.25 cubic metre. (g) Labours on different kinds of stone shall each be given separately. (h) Pointing given in description."
G,G39,Walling,Ends And Angles Of Walls,"(a) Square ends, reveals and external angles given in linear metres stating thickness. (b) Splayed or battered ends and angles given separately in linear metres. (c) Extra stone required deemed included. (d) Squint angles to walls or ends requiring thicker stones dealt with in Clause G51."
G,G40,Walling,Stone Facework,"(a) Stone facework bonded to backing shall be given in square metres stating average thickness. (b) Stone facework built against backing given in square metres stating thickness. Wall-ties or anchors described with type, spacing and securing method. (c) Stone facework used as formwork to concrete shall be so described. Temporary strutting described."
G,G41,Walling,Stone Slabbing Or Cladding To Walls,For pavings and stone slabbing or cladding to walls see Section S.
G,G42,Walling,Rough Cutting,"(a) Rough notchings and sinkings for steel sections, concrete columns, beams, etc. given in linear metres stating girth of cutting in 150 mm stages. (b) Rough notchings and sinkings for gusset-plates, ends of joists etc. enumerated stating size."
G,G43,Walling,Fair Cutting,(a) Fair raking cutting on superficial items of stonework given in linear metres stating thickness. Extra stone required deemed included. (b) Fair curved cutting on superficial items given in linear metres stating thickness. Extra stone required deemed included.
G,G44,Walling,Rustications,Rustications shall be given in the description of the stonework on which they occur.
G,G45,Walling,"Grooves, Rebates, Margins Etc.","(a) Grooves, throats, rebates, margins, flutes, sinkings, chamfered angles, rounded angles etc. on superficial stonework given in linear metres stating width or girth. Stops and mitres enumerated separately. (b) Such labours on linear stonework given in description with width/girth. Stops and mitres enumerated. (c) Such labours on enumerated items described with width/girth and number of stops/mitres."
G,G46,Walling,Mouldings,"(a) Mouldings on superficial stonework given in linear metres stating girth. Undercut mouldings so described. Stops, mitres, returned ends enumerated. (b) Mouldings on linear items described stating girth. Stops, mitres, returned ends enumerated. (c) Mouldings on enumerated items described stating girth and stops, mitres, ends enumerated. (d) Extra stone required for projecting mouldings added to thickness of stonework."
G,G47,Walling,Enrichments,"Enrichments (e.g. bead-and-reel, egg-and-dart, dentils) each given separately in linear metres stating size. Extra stone for projection added to thickness. Stops, mitres, returned ends enumerated."
G,G48,Walling,Ornaments,"Ornaments (e.g. scrolls, rosettes, crockets) enumerated separately stating size. Extra stone required for projection added to thickness."
G,G49,Walling,Small Panels,"(a) Stones forming small panels not exceeding 0.10 square metres enumerated separately stating size. Flush, sunk or projecting described with set-back or projection. (b) Small panels worked on other stones enumerated with size and set-back/projection. Extra stone for projection added to thickness."
G,G50,Walling,Pilasters,"(a) Stones forming pilasters given in linear metres stating width, thickness and projection. Battered pilasters or sunk to entasis described. (b) Caps and bases to pilasters enumerated separately stating size."
G,G51,Walling,Quoins And Jambs,Stones forming quoins and jambs given separately in linear metres stating width on face and thickness. Those battered or projecting described.
G,G52,Walling,Columns,"(a) Independent columns given in linear metres stating cross-section/diameter. Sunk to entasis described with greatest size/diameter. (b) Attached columns given in linear metres stating width, thickness and diameter of projection. Sunk to entasis described with greatest diameter. (c) Caps and bases to columns enumerated separately stating size."
G,G53,Walling,"Lintels, Sills, Transoms And Mullions","(a) Lintels, sills, mullions and transoms each given separately in linear metres stating size. (b) Ends and stoolings enumerated separately as extra over the member."
G,G54,Walling,"Copings, Cornices And Bands","(a) Copings, cornices, band-courses, string-courses, plinth cappings etc. given separately in linear metres stating size. Horizontal, raking and vertical members described. Fair ends and returns enumerated separately. (b) Kneeler-blocks, bonder-blocks, apex-blocks, angle-blocks, stooling-blocks and similar end blocks involving thicker stone enumerated separately stating size. (c) Plain band-courses over 300 mm wide dealt with as walling or facework."
G,G55,Walling,Slab Architraves And Surrounds,"(a) Slab architraves and surrounds to openings not bonded to surrounding work given separately in linear metres stating size. Ends and angles included. (b) Plinth-blocks, angle-blocks, key-blocks enumerated separately stating size."
G,G56,Walling,Arches,"Springers, voussoirs and keystones enumerated separately stating stone size and type of arch. Projecting members described with projection."
G,G57,Walling,Pier-Caps And Chimney-Caps,"Pier-caps, chimney-caps etc. enumerated separately stating size. Openings in chimney-caps described."
G,G58,Walling,"Finials, Brackets And Corbels","Finials, terminals, brackets, corbels etc. enumerated separately stating size."
G,G59,Walling,Tracery,Stones forming tracery enumerated separately stating size.
G,G60,Walling,Special Features,"Special features (e.g. ornamental panels, oriel windows, bullseye openings, niches, domes, fleches) enumerated separately stating nature, design, number of stones, total cubic content and exposed face dimensions."
G,G61,Walling,"Steps, Winders And Landings","(a) Steps (except winders) shall be given in linear metres stating the size and the number of steps. Spandril steps (i.e. steps with sloping soffits) shall be so described. Fair ends, returned ends, rounded ends, stooled ends, wall-holds and the like shall each be enumerated separately as extra over the member on which they occur. (b) Winders and landings shall each be enumerated separately stating the size and the number of stones. Landings of irregular shape shall be so described. Fair ends, stooled ends, wall-holds, fair edges, nosings, rebate, grooves and the like shall be given in the description."
G,G62,Walling,"Handrails, Cappings And Kerbs","(a) Handrails, cappings and kerbs shall each be given separately in linear metres stating the size. Fully-moulded handrails shall be so described. Stopped ends, returned ends, mitres, stoolings, wall-holds and the like shall each be enumerated separately as extra over the member on which they occur. (b) Scrolled ends, angle-blocks, ramp-blocks, wreath-blocks and the like shall each be enumerated separately stating the size."
G,G63,Walling,Balustrade Panels,"Balustrade panels and the like shall be enumerated stating the size. Those of irregular shape and those worked both sides shall be so described. Fair edges, shaped edges, perforations, sinkings and the like shall be given in the description."
G,G64,Walling,Balusters And Newels,"Balusters, half-balusters, newels and newel-caps shall each be enumerated separately stating the size."
G,G65,Walling,Cover-Stones And Corbel-Courses,"Cover-stones, corbel-courses and the like shall be given separately in linear metres stating the size. Fair edges shall be given in the description. Fair ends shall be enumerated as extra over the member on which they occur."
G,G66,Walling,"Templates, Bases And Hearths","Templates, bases, thresholds, hearths and the like shall each be enumerated separately stating the size. Fair edges shall be given in the description stating the number."
G,G67,Walling,"Shelves, Divisions, Table-Tops, Seats And Bath-Panels","(a) Shelves, divisions, table-tops, work-tops, counter-tops, seats, bath-panels and the like over 300 millimetres wide shall each be given separately in square metres stating the thickness. Those not exceeding 300 millimetres wide shall be given in linear metres and stating the thickness and the width. Members of irregular shape and curved members shall each be enumerated separately stating the thickness and the extreme size. (b) Fair edges, rounded edges, moulded edges, jointed edges, grooves, rebates and the like shall each be given separately in linear metres. Stops to grooves and rebates, also internal angles and external angles to rounded edges and moulded edges shall each be enumerated separately. (c) Notches, rounded corners, holes and the like shall each be enumerated separately stating the girth or size."
G,G68,Walling,Carvings And Sculpture,(a) Carving and sculpture shall each be enumerated separately stating the character of the work. Detailed drawings shall be provided but where unavailable or where a special carver or sculptor is required the work shall be given as a provisional or prime cost sum. Providing models shall be given in the description. (b) Selecting blocks of stone for size and quality shall be given as an item. Boasting for carving shall be given in the description of the stone to be used for carving or sculpture. (c) Temporary work (e.g. scaffolding; screens; shelters) required for the exclusive use of carvers or sculptors shall be given as an item stating the nature. Removing temporary work and making good after shall be deemed included. (d) Attending upon and cleaning down after carvers and sculptors shall be given as an item. (e) Working mouldings and similar members to carving and sculpture shall be enumerated stating the size of the moulding or member.
G,G69,Walling,Cast Stonework,"(a) Cast stonework shall consist of blocks of reconstructed or artificial stone accurately cast to given dimensions and used similarly to natural stone. (b) Particulars to be given: i. Reinforcement requirements; ii. Thickness, mix and colour of facing; iii. Texture and finish of exposed faces; iv. Coating requirements and cleaning on completion. (c) Moulds necessary to produce blocks deemed included."
G,G70,Walling,Work In Cast Stone,Work in cast stone shall be given in accordance with masonry rules Clauses G37–G68.
G,G71,Walling,Clayware Generally,"(a) Clayware work shall consist of blocks of fired clayware cast to given dimensions and used like natural stone. (b) Particulars to be given: i. Kind of clayware (stoneware, terracotta, faience etc.); ii. Colour; iii. Texture and finish (rough, smooth, glazed, double glazed); iv. Cleaning requirements. (c) Moulds necessary to produce blocks included. (d) Blocks cast hollow and filled with concrete shall be so described stating composition and mix of concrete. Formwork deemed included."
G,G72,Walling,Work In Clayware,Work in clayware shall be given in accordance with masonry rules Clauses G37–G68.
G,G73,Walling,Preparing For Raising,(a) Preparing tops of old walls to receive new shall be given in linear metres stating the thickness of the old wall. (b) Beds of mortar to cover rivets of girders under walls shall be deemed included with the walls which shall be measured from the top surface of the girders.
G,G74,Walling,Weather-Fillets And Angle-Fillets,Weather-fillets and angle-fillets shall each be given separately in linear metres stating the width. Curved fillets described irrespective of radius. Ends and angles deemed included.
G,G75,Walling,Bedding,"Bedding plates, corrugated sheeting, wood frames, sills and the like and pointing to one or both sides shall be deemed included."
G,G76,Walling,Wedging And Pinning Up,Wedging and pinning up new work to underside of old construction where load transmitted to new work shall be given in linear metres stating thickness. Materials for wedging described.
G,G77,Walling,Cutting Grooves,Cutting grooves for water-bars and the like shall be given in linear metres.
G,G78,Walling,Preparing For Flashings And Asphalt Skirtings,"(a) Raking out joint or cutting groove for turned-in edge of flashings shall be given in linear metres. Horizontal, raking, stepped, vertical and curved work each described. Pointing given in description. (b) Raking out and enlarging joint or cutting groove for nib of asphalt shall be given in linear metres. Horizontal, raking, vertical and curved work each described. Pointing given. (c) Dressing face of rubble walling or similar facework to receive flashings/skirtings given in description."
G,G79,Walling,Building In Or Cutting And Pinning,"(a) Building in metal windows, doors and the like (with frames) enumerated separately stating overall size. Strong-room doors, safe-doors enumerated with size, weight and floor level. Building in or cutting and pinning lugs, bedding frames and pointing given in description. (b) Building in ends of lintels, steel sections, bearing bars, steps, timbers etc. deemed included. (c) Cutting and pinning ends of lintels, sections, rails, steps, timbers, brackets etc. enumerated irrespective of size."
G,G80,Walling,Holes,"(a) Holes for pipes, tubes, bars, cables, conduits etc. enumerated stating size and thickness of work. Fixing pipe-sleeves given in description. (b) Holes for ducting, trunking, tray etc. enumerated stating size and thickness."
G,G81,Walling,Mortices,"Mortices and sinkings for ragbolts, bars, rails etc. enumerated stating depth in 100 mm stages. Running mortices with lead or mortar given in description."
G,G82,Walling,Making Good,Making good walls in connection with labours in Clauses G79–G81 deemed included. Making good fair face or facings given in description.
G,G83,Walling,"Air-Bricks, Gratings And Soot Doors","Forming openings in walls and building in air-bricks, ventilating gratings, soot-doors etc. enumerated stating opening size, wall nature and thickness. Lintels and arches given in description."
G,G84,Walling,Flues,(a) Parging and coring flues given in linear metres stating flue size where over 0.25 sq.m sectional area. (b) Fireclay linings and precast concrete linings each given separately in linear metres stating size. Cutting for easings/bends and cutting walls around linings given in description.
G,G85,Walling,Gas Flue-Blocks,Flue-blocks enumerated stating block type and size/number of flues. Method of building described. Rough cutting on walls given in description.
G,G86,Walling,Chimney-Pots,Chimney-pots enumerated stating type and size. Setting and flaunching given in description.
G,G87,Walling,Stoves And Surrounds,"(a) Stoves, grates, mantels, ranges and similar units enumerated separately stating type and size. Setting in fireplace and providing concrete/brick backings given in description. (b) Surrounds, hearths and similar units enumerated separately stating size, material type (tile, marble) and supply condition (loose parts, pre-slabbed). Assembly and jointing given in description."
G,G88,Walling,Cramps,"Metal cramps, slate dowels, metal dowels, lead plugs etc. enumerated separately stating size. Mortices and running with mortar/lead given in description."
G,G89,Walling,Coating Backs Of Stones,Coating backs of stones/blocks with slurry given in description of walling. Coating with other material given in square metres stating kind of material.
G,G90,Walling,Centering Generally,"(a) Particulars given of: i. Nature of surfaces to be supported (e.g. brickwork, blockwork); ii. Shape of surface (flat, segmental, semicircular, groined). (b) Centering left in described. (c) Centering with supports over 3.50 m high described stating height in 1.50 m stages. (d) Centering measured as actual surface to be supported. Strutting, shoring, bolting, wedging, easing, striking and removing deemed included."
G,G91,Walling,Flat Soffits,(a) Centering for flat soffits over 300 mm wide and not exceeding 2 m span given in square metres. (b) Centering for flat soffits not exceeding 300 mm wide and not exceeding 2 m span given in linear metres stating width. (c) Centering for flat soffits over 2 m span enumerated stating span and width. (d) Centering for sloping soffits described.
G,G92,Walling,Curved And Vaulted Soffits,Centering for curved and vaulted soffits each given separately in square metres.
G,G93,Walling,Arches (Centering),"Centering for segmental, semicircular, invert and other curved arches enumerated separately stating span, width of soffit and rise (except semicircular)."
G,G94,Walling,Labours On Centering,"(a) Raking cutting, curved cutting, cutting to groin points, intersections, ribs etc. given separately in linear metres. Scribed edges and splayed edges deemed included. (b) Notching for key blocks, projecting voussoirs etc. enumerated separately stating girth."
G,G95,Walling,Supports To Projecting Stonework And Tracery,"(a) Supports to projecting masonry (e.g. corbel-courses, cornices, pediments, hoods) given in linear metres stating projection. (b) Strutting and ribbing for tracery work enumerated stating overall area."
G,G96,Walling,Damp-Proof Courses Generally,"Particulars to be given: i. Kind and quality of damp-proof materials; ii. Gauge, thickness or substance (e.g. weight per square metre) of sheet material; iii. Number of layers; iv. Composition and mix of bedding material."
G,G97,Walling,Sheet Damp-Proof Courses,"(a) Sheet damp-proof courses (bitumen-felt, sheet lead, sheet copper etc.) over 300 mm wide given separately in square metres. Work not exceeding 300 mm wide given in linear metres stating width. No allowance for laps. No deductions for voids ≤0.50 sq.m. Horizontal, raking, vertical and curved work described. Cutting to curve described. (b) Damp-proof courses with cavity-gutters in hollow walls so described. (c) Pointing exposed edges deemed included."
H,H1,Underpinning,Underpinning Generally,"(a) Underpinning work shall be given as a Section in the bill. (b) A description of the existing structure (e.g. wall; pier) to be underpinned shall be given stating its location, its length or size on plan, the depth of the new work below the base of the existing foundation and the limit of length to be carried out in one operation. Underpinning which is curved on plan shall be so described. (c) Underpinning required to be executed from inside existing buildings shall be so described. Handling materials and getting them in or out of such buildings shall be deemed to be included with the items."
H,H2,Underpinning,Work Generally,Underpinning work shall be given in accordance with the rules in the relevant sections hereof except as qualified hereunder.
H,H3,Underpinning,Excavation,"(a) Temporary supports to work to be underpinned shall be given as an item. Particulars of such supports shall be given where practicable. (b) Allowances for working space (which shall not be subject to adjustments if more or less space is actually required) shall be made in the measurements of excavations. The width of the working space (measured horizontally from the face of the wall to be underpinned, or where projecting foundations are to be retained from the face of such projection) shall be related to the total depth of the excavation. The allowances shall be as follows: i. 1 metre from the wall or projecting foundation where the total depth of the excavation does not exceed 1.50 metres; ii. 1.50 metres where the total depth is over 1.50 metres but not more than 3 metres; iii. 2 metres where the total depth is over 3 metres. (c) Excavation shall be given in accordance with Clause D5 to D17 hereof subject to: i. Excavating preliminary trenches down to the level of the base of the existing foundation shall be so described. ii. Excavating below the level of the base of the existing foundation shall be so described. (d) Cutting away projecting foundations shall be given in linear metres stating the number of courses of footings and the dimensions of concrete to be removed."
J,J1,Waterproofing,Works Generally,"(a) Work shall be grouped as follows and each group with its associated skirtings, angle-fillets and labours shall be given under an appropriate heading: i. Damp-proof and tanking; ii. Paving; iii. Roofing; iv. Flooring and underlay. (b) Particulars of the following shall be given: i. Kind, quality and size of materials including underlay and reinforcement; ii. Thickness and number of coats; iii. Nature of base on which material is applied; iv. Surface treatment with chippings, gravel, tiles and the like; v. Method of fixing decking; vi. Quantity of material in kilogrammes or litres per square metre and number of coats. (c) Sheathing felt, cork, fibre or other underlay in contact with the material and any reinforcement shall be given in the description. Cutting, notching, bending and lapping shall be deemed included. (d) Work and labours executed overhand or in confined situations (with <1m working space) shall be so described. (e) Work and labours on retaining walls, in sections, or after continuity of laying has been interrupted by obstructions shall be so described. Jointing between sections deemed included. (f) Curved, conical, spherical and elliptical work shall each be described irrespective of radius. (g) Temporary rules shall be deemed included."
J,J2,Waterproofing,Mastic Asphalt - Coverings To Surfaces,"(a) Coverings measured as area in contact with base and include all labours. (b) Classifications: i. Flat coverings, coverings to falls/cross-falls and sloping ≤15°; ii. Sloping coverings >15° and ≤45°; iii. Sloping coverings >45° and vertical coverings. (c) Coverings which will be subsequently covered shall be so described. (d) Coverings to soffits shall be so described. (e) Internal angle-fillets given in linear metres (two coats unless otherwise stated). Ends and angles deemed included. (f) Extra labour/material for turning coverings into grooves given separately in linear metres."
J,J3,Waterproofing,"Skirtings, Fascias And Aprons","Skirtings, fascias and aprons shall each be given separately in linear metres stating the girth. Fair edges, drips, arises etc. and turning nibs into grooves shall be given in the description. Internal coved/angle fillets and tilting fillets shall be given separately in linear metres."
J,J4,Waterproofing,"Gutters, Valleys And Kerbs","(a) Linings to gutters, valleys and coverings to kerbs each given separately in linear metres stating the girth. Fair edges, arises etc. and turning nibs into grooves given in description. Internal coved/angle fillets and tilting fillets given separately in linear metres. Stop ends and outlets enumerated separately. (b) Linings to isolated gutters and valleys shall each be so described."
J,J5,Waterproofing,Channels,Linings to channels given in accordance with rules for gutter linings in J4. Forming shallow channels including additional materials given in linear metres as extra over covering stating the girth. Stop ends and outlets enumerated separately.
J,J6,Waterproofing,Cesspools And Collars,"(a) Linings to cesspools, sumps etc. enumerated separately stating size. Arrises, angle-fillets and outlets given in description. (b) Linings to bonding pockets, coverings to bonding blocks etc. enumerated separately stating size. Arrises and angle-fillets given in description. (c) Collars around pipes, standards etc. enumerated stating size of members. Arrises and angle-fillets given in description."
K,K1,Roofing,Roofing Generally,"(a) Work shall be grouped according to the kind of material and each group with its associated labours shall be given under an appropriate heading. (b) Work to dormers and the like shall be so described. (c) Work to curved, conical and spherical roofs shall each be so described stating the radius or diameter at base. Work to elliptical roofs and other roofs curved to more than one radius shall be so described stating the radii. (d) Work to turrets shall be so described stating the type (e.g., octagonal, conical), the diameter or size at base and apex, and the vertical height from base to apex. (e) Work shall be measured on the finished surfaces. (f) Colour of tiles/sheets, where applicable."
K,K2,Roofing,Tile Roofing,"Particulars of the following shall be given: i. Kind, size, type, colour and quality of slates or tiles (e.g., asbestos-cement slates; clay-ware tiles, concrete tiles; shingles). ii. Extent of lap. iii. Method of fixing and the number and kind of nails or pegs per slate or tile. iv. Size and type of laths or battens."
K,K3,Roofing,Roof Coverings,Roof coverings shall be given in square metres. Coverings over 45 degrees from horizontal and vertical coverings shall each be so described.
K,K4,Roofing,Labours On Roof Coverings,"(a) Square cutting around openings shall be given in linear metres. Square cutting against abutments and at top edges shall be deemed to be included. (b) Raking cutting and curved cutting shall each be given separately in linear metres. (c) Holes for pipes, standards and the like members (grouped together) shall be enumerated stating the size of the members."
K,K5,Roofing,Eaves,Double course at eaves and extra undercourse at eaves shall each be given separately in linear metres. Raking eaves and curved eaves shall each be described. Bedding given in the description stating the bedding material. Cut courses at eaves deemed included.
K,K6,Roofing,Verges,"Verges shall be given in linear metres. Raking verges, curved verges and verges with purpose-made or special tiles shall each be so described. Extra undercloak course, bedding, pointing and finishing with cement fillets shall be given in the description."
K,K7,Roofing,Valleys,(a) Cutting to valleys (measured to both sides) shall be given in linear metres. One-and-half width slates or tiles deemed included. Bedding and pointing to valleys shall be given in the description. (b) Valley-tiles shall be given in linear metres as extra over the roof coverings in which they occur. Purpose-made valley-tiles shall be so described. Cutting and bonding deemed included. (c) Laced or swept valleys shall be given in linear metres as extra over the roof coverings in which they occur. Cutting and bonding deemed included. Special finishes to tops or bottoms of valleys enumerated with particulars.
K,K8,Roofing,Hips And Vertical Angles,"(a) Cutting to hips and cutting to vertical angles (measured to both sides) shall each be given separately in linear metres. (b) Hip tiles and vertical angle tiles shall each be given separately in linear metres. Purpose-made hip or angle tiles shall be so described. Cutting and bonding deemed included. Filled ends enumerated. Fitted ends, mitred angles and mitred intersections deemed included."
K,K9,Roofing,Ridges And Hip Cappings,"Ridge-cappings and hip-cappings shall each be given separately in linear metres. Bedding and pointing given in description. Filled ends, purpose-made tiles, vents, finials etc. enumerated separately. Fitted ends, mitred angles and intersections deemed included."
K,K10,Roofing,Special Fillings,Tile slips and other fillings shall each be given separately in linear metres. Bedding and pointing given in the description.
K,K11,Roofing,Hip-Irons,Hip-irons shall be enumerated stating the method of fixing.
K,K12,Roofing,Metal Slates And Soakers,Metal slates and metal soakers shall each be enumerated separately stating the size.
K,K13,Roofing,Glass Tiles,Glass tiles and the like shall be enumerated as extra over the coverings in which they occur.
K,K14,Roofing,Lathing Or Battening,(a) Lathing or battening shall be given in the description of roofing (see Clause K2 (iv)). (b) Counter battening shall be given in square metres stating the size and spacing of battens and the method of fixing.
K,K15,Roofing,Under Felting,Underfelting shall be given in square metres stating the extent of laps and the method of fixing.
K,K16,Roofing,Corrugated Or Troughed Roofing Generally,"Particulars of the following shall be given: i. Kind of sheeting (e.g. asbestos-cement; iron; steel; protected metal; aluminium). ii. Quality, colour and gauge of sheeting and type of corrugation or troughing. iii. Extent of side and end laps. iv. Nature and spacing of supports (e.g. purlins). v. Method of fixing and sheeting. vi. Material for bedding joints stating which joints to be bedded (horizontal, vertical or both)."
